word,x_coord,y_coord,word_count,rank
makamaka,18.729475,3.0957215,1067,315
hanau,-8.278167,-10.4398,1064,316
makaainana,19.889717,36.357533000000004,1063,317
kapa,27.095245000000002,-60.701977,1054,318
lani,4.6887217,-34.696796,1048,319
hapa,-46.915005,29.097652000000004,1048,320
naau,17.300709,-5.5669830000000005,1045,321
lua,4.005647,-65.51439,1043,322
haawiia,-7.582128,39.459972,1041,323
ulu,31.580574,-39.880966,1041,324
mahiai,41.81277,8.308927,1037,325
ahiahi,-41.919395,17.879166,1034,326
kahu,18.211565,16.055975,1034,327
hoomalu,-2.8115199,56.279247,1030,328
huhu,24.223337,-15.446773,1020,329
mawaena,2.7932692,-1.5891738000000002,1018,330
elima,-48.1596,27.74757,1017,331
lahui_hawaii,-37.318816999999996,48.393887,1012,332
mele,-1.0309647,-27.719244,1010,333
kakau,-25.643375,48.272564,1009,334
kauka,-9.310975,17.571045,1007,335
kapena,-25.345016,-6.462500599999999,999,336
hoao,13.422807999999998,3.6263282,987,337
hoopaa,-6.6467094,22.950523,983,338
malihini,-22.87659,11.380574000000001,982,339
awa,-34.831345,-0.15142842,967,340
lunakanawai,6.6757550000000005,51.940456,967,341
kanu,36.00816,-41.55693,966,342
akamai,28.508987,11.926849,965,343
aihue,3.3563812000000004,20.85451,964,344
haumana,25.940788,20.069717,961,345
kuhina,7.0391045,54.734627,959,346
puni,2.5901227000000002,-32.406220000000005,957,347
lawelawe,3.4921696000000004,29.454802,954,348
auwina,-42.094208,19.399483,944,349
kiaaina,-0.31775025,64.52995,937,350
hoikeike,-32.812263,13.500875,933,351
makani,-14.408348000000002,-55.413734,932,352
alakai,4.765813,-1.2107955,930,353
eono,-48.643127,26.428420000000003,930,354
ili,12.958730000000001,-51.129177,927,355
hooponopono,-4.375335,47.196083,922,356
pehea,13.073260000000001,-12.064645,921,357
hoomaopopo,30.320442,-1.3151296000000001,917,358
oleloia,-6.020429,31.733515,917,359
poalima,-40.53144,21.390272,906,360
wawae,17.610922,-58.75554,901,361
hoomanao,3.9538045,-7.202300500000001,899,362
hoomakaukau,9.040333,5.3354893,899,363
poalua,-41.209732,21.625431,898,364
hoopuka,-28.129648,45.303616,891,365
hoahanau,20.175516000000002,16.695564,890,366
pakele,7.610113,0.8303722,889,367
ilio,41.184364,-30.739791999999998,888,368
lala,-17.857645,56.357887,885,369
hauoli,4.7308025,-24.606348,874,370
pokole,-10.8115425,3.4032760000000004,873,371
wau,10.452132,-16.336992000000002,872,372
makuahine,-7.311717999999999,-18.037771,871,373
malamaia,-35.121563,15.912389000000001,868,374
manaoia,-7.9419065,34.153114,867,375
iwaena,3.147671,-1.3734733000000001,865,376
pahu,32.040465999999995,-58.07048399999999,865,377
manu,-8.302164999999999,-59.293552000000005,864,378
kahea,8.461966,-13.400988,861,379
aie,-5.9455542999999995,44.750206,858,380
koi,13.954296,45.147197999999996,853,381
hoomau,9.588324,4.0654697,848,382
umi,-47.29375,28.328228000000003,843,383
huakai,-25.936420000000002,6.8492928,843,384
makuakane,-7.856325999999999,-18.240682999999997,842,385
kamehameha,-15.750185,-9.730209,839,386
hopu,6.5940137000000005,18.965172,835,387
kamalii,26.244085,19.475601,834,388
mahele,-15.00244,34.467983000000004,832,389
kahua,-27.043442,3.9745605000000004,832,390
hoolaha,-23.41092,50.46913,829,391
mahalo,-17.74384,9.771208999999999,826,392
hoopukaia,-29.112396,45.431843,825,393
hoolilo,-6.9883820000000005,37.71382,821,394
pohaku,26.819592,-48.495213,810,395
inu,35.429103999999995,-35.95879,806,396
pahi,18.656996,-48.070946,804,397
ponoi,16.503957999999997,3.0113418,801,398
pake,-2.0972974,27.384498999999998,800,399
kiai,7.4996996,7.6206875,799,400
pua,-12.367786,-63.61099,796,401
malie,-7.812009,-36.75537,793,402
na'lii,-11.291514999999999,-4.6375613,785,403
kukulu,35.89203,22.678036,784,404
kamaaina,-23.086735,11.757786999999999,782,405
enelani,-3.8424175000000003,6.935658500000001,780,406
honolulu_oahu,-36.833645000000004,28.577697999999998,780,407
kakauolelo,-0.27903694,63.836178000000004,778,408
kalana,-8.227449,53.251072,777,409
elele,-1.4392486999999998,65.20111999999999,777,410
hanohano,-18.994192,9.1631565,777,411
hao,39.598026000000004,-53.243687,768,412
hookomo,9.35843,49.270309999999995,760,413
kipi,-0.8718058000000001,5.851783999999999,758,414
ki,18.146614000000003,-42.51146,757,415
naaupo,29.014542,5.127596400000001,756,416
wehe,11.546002,-40.38517,743,417
keu,-48.411186,30.087446000000003,739,418
puhi,0.6668451,22.126444,738,419
hapalua,-46.152058000000004,23.42305,736,420
kulike,-21.752308,39.859806,732,421
akau,-56.609486,3.617053,732,422
kapuai,22.485868,-67.50238,728,423
kolohe,3.1851845,20.57283,726,424
poho,34.35107,3.6805727,726,425
pale,37.07287,-22.21998,725,426
ulia,-11.959175,8.332756,720,427
nele,32.007416,5.539469,719,428
hookaa_mua,-34.403263,40.07858,719,429
pilipino,-2.013347,22.468052,717,430
haawina,3.9596953,62.807759999999995,713,431
hanai,-5.275313,-12.947545,712,432
kauia,-4.679657,31.280743,708,433
enemi,1.0830819999999999,3.0673995,708,434
hookuu,12.799406,45.538208000000004,707,435
kahuna,18.884792,17.196365,704,436
kaawale,5.935048,5.714822,703,437
hiamoe,-1.2442863000000002,-41.72926,701,438
hooemi,-33.942894,37.75629,701,439
waapa,-26.932886,-4.321352,698,440
lana,10.655130999999999,-20.532928,691,441
makaikiu,-7.690813499999999,25.65624,689,442
aneane,-7.120684599999999,6.0574822,688,443
waa,-19.385063,-40.26162,688,444
meia,-6.7078447,57.087357,686,445
hoikeia,-22.567120000000003,39.52385,682,446
lono,-14.991473999999998,3.2979839999999996,676,447
makaikai,-31.016641999999997,7.9391136,672,448
hema,-56.566993999999994,3.621593,671,449
lepo,6.3842797,-65.53539,671,450
lunakiai,-7.0932702999999995,57.56981700000001,670,451
hoihoiia,-12.282989500000001,17.026654999999998,669,452
lunahoomalu,-5.30569,62.28419,668,453
